,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Formua de Venda,Regiao
130,131,2024-03-15,São Paulo,iPhone 14,5500.0,1,Cliente_3098,5500.0,Presencial,Sudeste
134,135,2023-04-13,São Paulo,Mouse Gamer,120.0,1,Cliente_15248,120.0,Presencial,Sudeste
149,150,2023-01-30,São Paulo,Cabo HDMI,40.0,1,Cliente_14119,40.0,Presencial,Sudeste
163,164,2024-06-22,São Paulo,iPhone 14,5500.0,5,Cliente_26947,27500.0,Presencial,Sudeste
164,165,2024-05-29,São Paulo,Notebook HP,3200.0,1,Cliente_9787,3200.0,Presencial,Sudeste
172,173,2023-02-25,São Paulo,Smartphone Samsung,2200.0,2,Cliente_23353,4400.0,Presencial,Sudeste
175,176,2024-06-19,São Paulo,Teclado Mecânico,250.0,1,Cliente_19721,250.0,Presencial,Sudeste
176,177,2024-12-30,São Paulo,Smartphone Samsung,2200.0,3,Cliente_4388,6600.0,Presencial,Sudeste
181,182,2024-03-29,São Paulo,Mouse Gamer,120.0,2,Cliente_14924,240.0,Presencial,Sudeste
194,195,2024-09-01,São Paulo,Mouse Gamer,120.0,5,Cliente_12677,600.0,Presencial,Sudeste
221,222,2023-01-11,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9968,2200.0,Presencial,Sudeste
222,223,2023-04-19,São Paulo,Teclado Mecânico,250.0,1,Cliente_17418,250.0,Presencial,Sudeste
226,227,2024-02-18,São Paulo,"Monitor 27""",1200.0,1,Cliente_26613,1200.0,Presencial,Sudeste
229,230,2024-07-24,São Paulo,"Monitor 27""",1200.0,1,Cliente_6511,1200.0,Presencial,Sudeste
236,237,2023-06-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_1936,250.0,Presencial,Sudeste
239,240,2024-09-01,São Paulo,Cabo HDMI,40.0,1,Cliente_1539,40.0,Presencial,Sudeste
248,249,2024-10-21,São Paulo,Notebook Dell,3500.0,1,Cliente_8471,3500.0,Presencial,Sudeste
250,251,2023-01-01,São Paulo,Teclado Mecânico,250.0,3,Cliente_22822,750.0,Presencial,Sudeste
252,253,2023-05-01,São Paulo,iPhone 14,5500.0,1,Cliente_3448,5500.0,Presencial,Sudeste
258,259,2023-07-10,São Paulo,Cabo HDMI,40.0,1,Cliente_24296,40.0,Presencial,Sudeste
262,263,2024-11-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_27932,1200.0,Presencial,Sudeste
266,267,2023-12-15,São Paulo,iPhone 14,5500.0,10,Cliente_13893,55000.0,Presencial,Sudeste
283,284,2023-02-04,São Paulo,Mouse Gamer,120.0,1,Cliente_11276,120.0,Presencial,Sudeste
286,287,2023-11-08,São Paulo,Notebook Dell,3500.0,1,Cliente_22556,3500.0,Presencial,Sudeste
290,291,2024-01-08,São Paulo,Notebook Dell,3500.0,1,Cliente_11654,3500.0,Presencial,Sudeste
294,295,2024-06-09,São Paulo,Notebook HP,3200.0,1,Cliente_12975,3200.0,Presencial,Sudeste
300,301,2023-08-26,São Paulo,Notebook Dell,3500.0,1,Cliente_14661,3500.0,Presencial,Sudeste
306,307,2023-09-30,São Paulo,iPhone 14,5500.0,1,Cliente_14030,5500.0,Presencial,Sudeste
320,321,2023-07-17,São Paulo,Cabo HDMI,40.0,1,Cliente_28129,40.0,Presencial,Sudeste
332,333,2024-08-12,São Paulo,iPhone 14,5500.0,1,Cliente_7570,5500.0,Presencial,Sudeste
337,338,2023-10-17,São Paulo,Smartphone Samsung,2200.0,1,Cliente_16263,2200.0,Presencial,Sudeste
338,339,2023-05-12,São Paulo,iPhone 14,5500.0,1,Cliente_8203,5500.0,Presencial,Sudeste
346,347,2023-11-08,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21660,2200.0,Presencial,Sudeste
347,348,2024-03-30,São Paulo,iPhone 14,5500.0,1,Cliente_22412,5500.0,Presencial,Sudeste
364,365,2023-11-07,São Paulo,Mouse Gamer,120.0,2,Cliente_5383,240.0,Presencial,Sudeste
369,370,2024-04-20,São Paulo,Mouse Gamer,120.0,3,Cliente_28114,360.0,Presencial,Sudeste
373,374,2023-04-24,São Paulo,Cabo HDMI,40.0,1,Cliente_6038,40.0,Presencial,Sudeste
385,386,2023-09-25,São Paulo,Cabo HDMI,40.0,1,Cliente_8275,40.0,Presencial,Sudeste
391,392,2024-09-09,São Paulo,Smartphone Samsung,2200.0,1,Cliente_24896,2200.0,Presencial,Sudeste
400,401,2024-03-03,São Paulo,Cabo HDMI,40.0,1,Cliente_19034,40.0,Presencial,Sudeste
402,403,2024-09-09,São Paulo,Smartphone Samsung,2200.0,1,Cliente_10440,2200.0,Presencial,Sudeste
403,404,2023-04-28,São Paulo,Notebook Dell,3500.0,1,Cliente_10335,3500.0,Presencial,Sudeste
411,412,2024-11-09,São Paulo,Cabo HDMI,40.0,1,Cliente_16844,40.0,Presencial,Sudeste
418,419,2023-08-22,São Paulo,Cabo HDMI,40.0,1,Cliente_532,40.0,Presencial,Sudeste
420,421,2023-11-12,São Paulo,Notebook HP,3200.0,1,Cliente_12767,3200.0,Presencial,Sudeste
429,430,2024-02-04,São Paulo,iPhone 14,5500.0,1,Cliente_28239,5500.0,Presencial,Sudeste
430,431,2023-10-23,São Paulo,Notebook Dell,3500.0,1,Cliente_1002,3500.0,Presencial,Sudeste
433,434,2023-02-28,São Paulo,Cabo HDMI,40.0,2,Cliente_24656,80.0,Presencial,Sudeste
453,454,2024-02-05,São Paulo,Teclado Mecânico,250.0,2,Cliente_8347,500.0,Presencial,Sudeste
460,461,2023-12-26,São Paulo,Notebook HP,3200.0,1,Cliente_28929,3200.0,Presencial,Sudeste
463,464,2023-08-03,São Paulo,Notebook Dell,3500.0,2,Cliente_22317,7000.0,Presencial,Sudeste
466,467,2023-01-17,São Paulo,Cabo HDMI,40.0,1,Cliente_20160,40.0,Presencial,Sudeste
470,471,2023-03-26,São Paulo,"Monitor 27""",1200.0,1,Cliente_34,1200.0,Presencial,Sudeste
491,492,2023-10-10,São Paulo,"Monitor 27""",1200.0,1,Cliente_5568,1200.0,Presencial,Sudeste
499,500,2024-10-02,São Paulo,iPhone 14,5500.0,1,Cliente_28825,5500.0,Presencial,Sudeste
502,503,2023-12-29,São Paulo,"Monitor 27""",1200.0,1,Cliente_25968,1200.0,Presencial,Sudeste
523,524,2023-10-30,São Paulo,Mouse Gamer,120.0,1,Cliente_2166,120.0,Presencial,Sudeste
538,539,2024-04-07,São Paulo,"Monitor 27""",1200.0,1,Cliente_14646,1200.0,Presencial,Sudeste
541,542,2024-11-26,São Paulo,Notebook HP,3200.0,1,Cliente_24652,3200.0,Presencial,Sudeste
563,564,2024-06-04,São Paulo,Mouse Gamer,120.0,1,Cliente_18667,120.0,Presencial,Sudeste
567,568,2024-11-01,São Paulo,Cabo HDMI,40.0,1,Cliente_29234,40.0,Presencial,Sudeste
571,572,2024-09-15,São Paulo,Smartphone Samsung,2200.0,1,Cliente_5825,2200.0,Presencial,Sudeste
576,577,2024-06-18,São Paulo,"Monitor 27""",1200.0,1,Cliente_27697,1200.0,Presencial,Sudeste
582,583,2024-02-24,São Paulo,iPhone 14,5500.0,1,Cliente_6848,5500.0,Presencial,Sudeste
589,590,2024-03-28,São Paulo,"Monitor 27""",1200.0,2,Cliente_19020,2400.0,Presencial,Sudeste
590,591,2023-03-26,São Paulo,Notebook Dell,3500.0,1,Cliente_11948,3500.0,Presencial,Sudeste
597,598,2023-06-02,São Paulo,Mouse Gamer,120.0,1,Cliente_29016,120.0,Presencial,Sudeste
608,609,2024-07-20,São Paulo,iPhone 14,5500.0,1,Cliente_17066,5500.0,Presencial,Sudeste
623,624,2023-02-07,São Paulo,Notebook HP,3200.0,2,Cliente_8804,6400.0,Presencial,Sudeste
629,630,2024-08-28,São Paulo,Mouse Gamer,120.0,5,Cliente_23235,600.0,Presencial,Sudeste
638,639,2023-02-18,São Paulo,Notebook HP,3200.0,1,Cliente_13255,3200.0,Presencial,Sudeste
639,640,2023-01-29,São Paulo,Cabo HDMI,40.0,1,Cliente_4913,40.0,Presencial,Sudeste
656,657,2023-05-19,São Paulo,Mouse Gamer,120.0,1,Cliente_6505,120.0,Presencial,Sudeste
659,660,2024-09-21,São Paulo,Notebook HP,3200.0,1,Cliente_22386,3200.0,Presencial,Sudeste
679,680,2023-03-31,São Paulo,Notebook HP,3200.0,1,Cliente_26956,3200.0,Presencial,Sudeste
682,683,2023-04-01,São Paulo,Mouse Gamer,120.0,1,Cliente_21627,120.0,Presencial,Sudeste
687,688,2024-07-03,São Paulo,"Monitor 27""",1200.0,1,Cliente_21494,1200.0,Presencial,Sudeste
689,690,2023-08-28,São Paulo,Notebook HP,3200.0,1,Cliente_3354,3200.0,Presencial,Sudeste
693,694,2024-04-01,São Paulo,iPhone 14,5500.0,1,Cliente_21777,5500.0,Presencial,Sudeste
697,698,2024-01-13,São Paulo,Notebook HP,3200.0,1,Cliente_15079,3200.0,Presencial,Sudeste
701,702,2023-04-11,São Paulo,Cabo HDMI,40.0,1,Cliente_6011,40.0,Presencial,Sudeste
706,707,2024-05-19,São Paulo,iPhone 14,5500.0,2,Cliente_1812,11000.0,Presencial,Sudeste
707,708,2023-12-24,São Paulo,Cabo HDMI,40.0,1,Cliente_4472,40.0,Presencial,Sudeste
709,710,2024-06-22,São Paulo,Cabo HDMI,40.0,1,Cliente_26877,40.0,Presencial,Sudeste
711,712,2024-05-13,São Paulo,Notebook HP,3200.0,1,Cliente_25333,3200.0,Presencial,Sudeste
721,722,2024-07-26,São Paulo,Smartphone Samsung,2200.0,1,Cliente_15451,2200.0,Presencial,Sudeste
723,724,2023-10-10,São Paulo,Notebook Dell,3500.0,1,Cliente_5110,3500.0,Presencial,Sudeste
724,725,2023-03-05,São Paulo,Notebook Dell,3500.0,2,Cliente_6379,7000.0,Presencial,Sudeste
726,727,2023-02-22,São Paulo,Smartphone Samsung,2200.0,5,Cliente_12684,11000.0,Presencial,Sudeste
727,728,2023-07-19,São Paulo,Smartphone Samsung,2200.0,1,Cliente_20266,2200.0,Presencial,Sudeste
735,736,2023-11-05,São Paulo,Smartphone Samsung,2200.0,1,Cliente_4959,2200.0,Presencial,Sudeste
736,737,2023-01-17,São Paulo,iPhone 14,5500.0,1,Cliente_13320,5500.0,Presencial,Sudeste
739,740,2023-03-19,São Paulo,iPhone 14,5500.0,1,Cliente_25351,5500.0,Presencial,Sudeste
752,753,2024-02-11,São Paulo,Notebook HP,3200.0,1,Cliente_10633,3200.0,Presencial,Sudeste
758,759,2023-04-11,São Paulo,Notebook Dell,3500.0,2,Cliente_26975,7000.0,Presencial,Sudeste
760,761,2023-12-15,São Paulo,iPhone 14,5500.0,1,Cliente_17682,5500.0,Presencial,Sudeste
765,766,2023-03-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_12430,2200.0,Presencial,Sudeste
768,769,2024-01-25,São Paulo,iPhone 14,5500.0,3,Cliente_17870,16500.0,Presencial,Sudeste
784,785,2024-04-20,São Paulo,Notebook HP,3200.0,1,Cliente_25914,3200.0,Presencial,Sudeste
788,789,2023-10-28,São Paulo,Cabo HDMI,40.0,1,Cliente_815,40.0,Presencial,Sudeste
789,790,2023-07-20,São Paulo,Mouse Gamer,120.0,3,Cliente_18259,360.0,Presencial,Sudeste
799,800,2024-01-12,São Paulo,Smartphone Samsung,2200.0,1,Cliente_22639,2200.0,Presencial,Sudeste
816,817,2023-05-30,São Paulo,Notebook Dell,3500.0,1,Cliente_3744,3500.0,Presencial,Sudeste
825,826,2024-01-24,São Paulo,iPhone 14,5500.0,3,Cliente_28248,16500.0,Presencial,Sudeste
829,830,2023-09-14,São Paulo,Cabo HDMI,40.0,1,Cliente_970,40.0,Presencial,Sudeste
838,839,2024-09-20,São Paulo,iPhone 14,5500.0,2,Cliente_29994,11000.0,Presencial,Sudeste
841,842,2023-04-15,São Paulo,Cabo HDMI,40.0,2,Cliente_22686,80.0,Presencial,Sudeste
844,845,2024-10-18,São Paulo,"Monitor 27""",1200.0,2,Cliente_17983,2400.0,Presencial,Sudeste
845,846,2023-06-19,São Paulo,"Monitor 27""",1200.0,2,Cliente_16677,2400.0,Presencial,Sudeste
850,851,2024-05-30,São Paulo,Mouse Gamer,120.0,1,Cliente_11201,120.0,Presencial,Sudeste
852,853,2023-07-05,São Paulo,"Monitor 27""",1200.0,1,Cliente_17486,1200.0,Presencial,Sudeste
862,863,2023-06-21,São Paulo,Notebook HP,3200.0,3,Cliente_4632,9600.0,Presencial,Sudeste
877,878,2023-05-09,São Paulo,Notebook HP,3200.0,1,Cliente_18338,3200.0,Presencial,Sudeste
891,892,2023-02-10,São Paulo,Mouse Gamer,120.0,1,Cliente_3177,120.0,Presencial,Sudeste
892,893,2024-12-20,São Paulo,Notebook Dell,3500.0,1,Cliente_18163,3500.0,Presencial,Sudeste
896,897,2023-12-31,São Paulo,Teclado Mecânico,250.0,2,Cliente_13843,500.0,Presencial,Sudeste
904,905,2023-02-16,São Paulo,Smartphone Samsung,2200.0,2,Cliente_8395,4400.0,Presencial,Sudeste
905,906,2024-05-04,São Paulo,Notebook HP,3200.0,1,Cliente_17008,3200.0,Presencial,Sudeste
906,907,2024-09-22,São Paulo,Notebook HP,3200.0,1,Cliente_4164,3200.0,Presencial,Sudeste
908,909,2023-02-02,São Paulo,Mouse Gamer,120.0,1,Cliente_28357,120.0,Presencial,Sudeste
910,911,2023-10-04,São Paulo,Smartphone Samsung,2200.0,2,Cliente_25422,4400.0,Presencial,Sudeste
914,915,2024-02-19,São Paulo,iPhone 14,5500.0,2,Cliente_4922,11000.0,Presencial,Sudeste
926,927,2024-12-27,São Paulo,"Monitor 27""",1200.0,1,Cliente_19727,1200.0,Presencial,Sudeste
929,930,2024-03-17,São Paulo,Notebook Dell,3500.0,2,Cliente_1270,7000.0,Presencial,Sudeste
942,943,2024-11-22,São Paulo,Cabo HDMI,40.0,1,Cliente_15888,40.0,Presencial,Sudeste
952,953,2023-08-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_16862,1200.0,Presencial,Sudeste
973,974,2023-05-23,São Paulo,Smartphone Samsung,2200.0,1,Cliente_8946,2200.0,Presencial,Sudeste
976,977,2024-10-17,São Paulo,Cabo HDMI,40.0,1,Cliente_15728,40.0,Presencial,Sudeste
979,980,2023-06-15,São Paulo,Teclado Mecânico,250.0,1,Cliente_2052,250.0,Presencial,Sudeste
994,995,2023-01-18,São Paulo,iPhone 14,5500.0,1,Cliente_17772,5500.0,Presencial,Sudeste
1011,1012,2023-12-14,São Paulo,"Monitor 27""",1200.0,1,Cliente_24644,1200.0,Presencial,Sudeste
1022,1023,2024-10-04,São Paulo,Notebook HP,3200.0,1,Cliente_26802,3200.0,Presencial,Sudeste
1023,1024,2023-06-30,São Paulo,Notebook HP,3200.0,2,Cliente_26780,6400.0,Presencial,Sudeste
1026,1027,2023-03-12,São Paulo,Notebook HP,3200.0,1,Cliente_11595,3200.0,Presencial,Sudeste
1036,1037,2024-04-02,São Paulo,Cabo HDMI,40.0,1,Cliente_29788,40.0,Presencial,Sudeste
1052,1053,2023-03-24,São Paulo,Smartphone Samsung,2200.0,3,Cliente_23959,6600.0,Presencial,Sudeste
1067,1068,2023-01-21,São Paulo,Mouse Gamer,120.0,1,Cliente_21445,120.0,Presencial,Sudeste
1070,1071,2023-10-27,São Paulo,"Monitor 27""",1200.0,1,Cliente_1446,1200.0,Presencial,Sudeste
1084,1085,2024-06-05,São Paulo,Teclado Mecânico,250.0,1,Cliente_27831,250.0,Presencial,Sudeste
1085,1086,2024-09-11,São Paulo,Notebook Dell,3500.0,2,Cliente_5900,7000.0,Presencial,Sudeste
1090,1091,2023-01-25,São Paulo,iPhone 14,5500.0,1,Cliente_21195,5500.0,Presencial,Sudeste
1094,1095,2023-06-13,São Paulo,Notebook HP,3200.0,1,Cliente_26929,3200.0,Presencial,Sudeste
1117,1118,2024-04-05,São Paulo,"Monitor 27""",1200.0,1,Cliente_12949,1200.0,Presencial,Sudeste
1119,1120,2023-08-19,São Paulo,Teclado Mecânico,250.0,1,Cliente_22385,250.0,Presencial,Sudeste
1133,1134,2023-04-01,São Paulo,Mouse Gamer,120.0,1,Cliente_23808,120.0,Presencial,Sudeste
1145,1146,2024-07-11,São Paulo,Teclado Mecânico,250.0,1,Cliente_9052,250.0,Presencial,Sudeste
1158,1159,2023-02-13,São Paulo,iPhone 14,5500.0,1,Cliente_6277,5500.0,Presencial,Sudeste
1161,1162,2023-10-12,São Paulo,"Monitor 27""",1200.0,1,Cliente_5187,1200.0,Presencial,Sudeste
1165,1166,2024-11-19,São Paulo,Notebook HP,3200.0,1,Cliente_6440,3200.0,Presencial,Sudeste
1178,1179,2023-06-03,São Paulo,Mouse Gamer,120.0,1,Cliente_26508,120.0,Presencial,Sudeste
1182,1183,2024-07-18,São Paulo,Cabo HDMI,40.0,1,Cliente_2123,40.0,Presencial,Sudeste
1183,1184,2024-03-18,São Paulo,iPhone 14,5500.0,1,Cliente_21805,5500.0,Presencial,Sudeste
1187,1188,2023-01-12,São Paulo,Notebook Dell,3500.0,3,Cliente_22322,10500.0,Presencial,Sudeste
1194,1195,2024-09-01,São Paulo,Notebook HP,3200.0,1,Cliente_9854,3200.0,Presencial,Sudeste
1196,1197,2024-02-19,São Paulo,Notebook HP,3200.0,1,Cliente_29792,3200.0,Presencial,Sudeste
1199,1200,2024-07-28,São Paulo,"Monitor 27""",1200.0,3,Cliente_4831,3600.0,Presencial,Sudeste
1205,1206,2024-02-27,São Paulo,Teclado Mecânico,250.0,1,Cliente_20020,250.0,Presencial,Sudeste
1210,1211,2023-11-09,São Paulo,Notebook Dell,3500.0,1,Cliente_7314,3500.0,Presencial,Sudeste
1226,1227,2024-08-20,São Paulo,Mouse Gamer,120.0,1,Cliente_1238,120.0,Presencial,Sudeste
1239,1240,2024-01-22,São Paulo,Smartphone Samsung,2200.0,1,Cliente_22034,2200.0,Presencial,Sudeste
1258,1259,2024-03-22,São Paulo,Cabo HDMI,40.0,1,Cliente_28784,40.0,Presencial,Sudeste
1265,1266,2023-05-30,São Paulo,Smartphone Samsung,2200.0,1,Cliente_1036,2200.0,Presencial,Sudeste
1267,1268,2024-11-10,São Paulo,iPhone 14,5500.0,5,Cliente_8232,27500.0,Presencial,Sudeste
1274,1275,2023-02-18,São Paulo,Mouse Gamer,120.0,1,Cliente_27829,120.0,Presencial,Sudeste
1305,1306,2024-03-30,São Paulo,Mouse Gamer,120.0,1,Cliente_4392,120.0,Presencial,Sudeste
1310,1311,2023-08-05,São Paulo,Smartphone Samsung,2200.0,1,Cliente_14717,2200.0,Presencial,Sudeste
1312,1313,2023-03-07,São Paulo,Notebook Dell,3500.0,1,Cliente_12298,3500.0,Presencial,Sudeste
1316,1317,2023-06-07,São Paulo,Notebook HP,3200.0,1,Cliente_22569,3200.0,Presencial,Sudeste
1329,1330,2024-12-07,São Paulo,"Monitor 27""",1200.0,1,Cliente_24323,1200.0,Presencial,Sudeste
1333,1334,2023-09-01,São Paulo,Cabo HDMI,40.0,2,Cliente_13718,80.0,Presencial,Sudeste
1346,1347,2023-07-14,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9586,2200.0,Presencial,Sudeste
1348,1349,2023-06-04,São Paulo,Cabo HDMI,40.0,1,Cliente_5576,40.0,Presencial,Sudeste
1350,1351,2023-04-03,São Paulo,iPhone 14,5500.0,2,Cliente_3152,11000.0,Presencial,Sudeste
1353,1354,2024-01-27,São Paulo,Teclado Mecânico,250.0,1,Cliente_24864,250.0,Presencial,Sudeste
1361,1362,2023-02-08,São Paulo,Teclado Mecânico,250.0,1,Cliente_23750,250.0,Presencial,Sudeste
1370,1371,2023-07-29,São Paulo,Mouse Gamer,120.0,1,Cliente_19952,120.0,Presencial,Sudeste
1374,1375,2024-09-29,São Paulo,Smartphone Samsung,2200.0,1,Cliente_26665,2200.0,Presencial,Sudeste
1397,1398,2024-02-21,São Paulo,Mouse Gamer,120.0,1,Cliente_18051,120.0,Presencial,Sudeste
1398,1399,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_22487,5500.0,Presencial,Sudeste
1411,1412,2023-09-24,São Paulo,Notebook HP,3200.0,1,Cliente_14825,3200.0,Presencial,Sudeste
1418,1419,2023-12-12,São Paulo,"Monitor 27""",1200.0,1,Cliente_11795,1200.0,Presencial,Sudeste
1430,1431,2024-01-15,São Paulo,Notebook Dell,3500.0,1,Cliente_2531,3500.0,Presencial,Sudeste
1460,1461,2024-01-05,São Paulo,"Monitor 27""",1200.0,1,Cliente_16495,1200.0,Presencial,Sudeste
1474,1475,2024-01-06,São Paulo,Cabo HDMI,40.0,1,Cliente_22424,40.0,Presencial,Sudeste
1484,1485,2023-06-27,São Paulo,Mouse Gamer,120.0,2,Cliente_8666,240.0,Presencial,Sudeste
1487,1488,2024-02-13,São Paulo,Notebook Dell,3500.0,1,Cliente_3353,3500.0,Presencial,Sudeste
1490,1491,2023-05-14,São Paulo,Notebook Dell,3500.0,1,Cliente_24280,3500.0,Presencial,Sudeste
1493,1494,2024-05-31,São Paulo,Notebook HP,3200.0,2,Cliente_285,6400.0,Presencial,Sudeste
1497,1498,2023-07-01,São Paulo,Cabo HDMI,40.0,1,Cliente_12739,40.0,Presencial,Sudeste
1506,1507,2024-11-13,São Paulo,Cabo HDMI,40.0,10,Cliente_23532,400.0,Presencial,Sudeste
1509,1510,2024-04-21,São Paulo,iPhone 14,5500.0,1,Cliente_2745,5500.0,Presencial,Sudeste
1510,1511,2023-07-18,São Paulo,Mouse Gamer,120.0,1,Cliente_19753,120.0,Presencial,Sudeste
1512,1513,2024-12-24,São Paulo,"Monitor 27""",1200.0,3,Cliente_4739,3600.0,Presencial,Sudeste
1516,1517,2023-01-22,São Paulo,Mouse Gamer,120.0,1,Cliente_7080,120.0,Presencial,Sudeste
1518,1519,2023-05-11,São Paulo,iPhone 14,5500.0,3,Cliente_29144,16500.0,Presencial,Sudeste
1522,1523,2024-03-17,São Paulo,Notebook Dell,3500.0,1,Cliente_25593,3500.0,Presencial,Sudeste
1527,1528,2024-08-02,São Paulo,Notebook Dell,3500.0,1,Cliente_8918,3500.0,Presencial,Sudeste
1536,1537,2023-07-14,São Paulo,Notebook Dell,3500.0,1,Cliente_24578,3500.0,Presencial,Sudeste
1542,1543,2024-07-05,São Paulo,iPhone 14,5500.0,1,Cliente_10125,5500.0,Presencial,Sudeste
1550,1551,2023-09-20,São Paulo,"Monitor 27""",1200.0,1,Cliente_25549,1200.0,Presencial,Sudeste
1563,1564,2023-03-07,São Paulo,Notebook HP,3200.0,1,Cliente_13194,3200.0,Presencial,Sudeste
1574,1575,2023-07-08,São Paulo,Cabo HDMI,40.0,1,Cliente_21244,40.0,Presencial,Sudeste
1578,1579,2023-05-13,São Paulo,Teclado Mecânico,250.0,5,Cliente_3157,1250.0,Presencial,Sudeste
1580,1581,2024-09-12,São Paulo,iPhone 14,5500.0,3,Cliente_10454,16500.0,Presencial,Sudeste
1586,1587,2023-06-07,São Paulo,Notebook Dell,3500.0,1,Cliente_1366,3500.0,Presencial,Sudeste
1592,1593,2024-08-13,São Paulo,iPhone 14,5500.0,1,Cliente_1387,5500.0,Presencial,Sudeste
1605,1606,2023-05-17,São Paulo,Mouse Gamer,120.0,2,Cliente_9836,240.0,Presencial,Sudeste
1607,1608,2024-01-22,São Paulo,Notebook Dell,3500.0,2,Cliente_18818,7000.0,Presencial,Sudeste
1613,1614,2023-03-06,São Paulo,Notebook Dell,3500.0,1,Cliente_7761,3500.0,Presencial,Sudeste
1619,1620,2023-02-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_17188,1200.0,Presencial,Sudeste
1625,1626,2023-10-27,São Paulo,Mouse Gamer,120.0,1,Cliente_18856,120.0,Presencial,Sudeste
1627,1628,2024-07-04,São Paulo,Notebook Dell,3500.0,3,Cliente_2917,10500.0,Presencial,Sudeste
1629,1630,2024-08-22,São Paulo,Teclado Mecânico,250.0,1,Cliente_10884,250.0,Presencial,Sudeste
1650,1651,2024-02-26,São Paulo,Smartphone Samsung,2200.0,1,Cliente_20998,2200.0,Presencial,Sudeste
1652,1653,2024-08-13,São Paulo,Notebook HP,3200.0,1,Cliente_26213,3200.0,Presencial,Sudeste
1661,1662,2024-06-18,São Paulo,Smartphone Samsung,2200.0,1,Cliente_17305,2200.0,Presencial,Sudeste
1662,1663,2023-09-12,São Paulo,iPhone 14,5500.0,1,Cliente_28771,5500.0,Presencial,Sudeste
1674,1675,2024-12-04,São Paulo,Notebook Dell,3500.0,1,Cliente_20698,3500.0,Presencial,Sudeste
1695,1696,2023-05-29,São Paulo,Cabo HDMI,40.0,1,Cliente_18082,40.0,Presencial,Sudeste
1704,1705,2023-06-11,São Paulo,Smartphone Samsung,2200.0,1,Cliente_25995,2200.0,Presencial,Sudeste
1707,1708,2023-09-14,São Paulo,Teclado Mecânico,250.0,2,Cliente_19917,500.0,Presencial,Sudeste
1712,1713,2023-11-28,São Paulo,"Monitor 27""",1200.0,1,Cliente_20648,1200.0,Presencial,Sudeste
1713,1714,2024-11-04,São Paulo,"Monitor 27""",1200.0,3,Cliente_11556,3600.0,Presencial,Sudeste
1720,1721,2023-05-12,São Paulo,Teclado Mecânico,250.0,3,Cliente_5429,750.0,Presencial,Sudeste
1724,1725,2024-07-06,São Paulo,Notebook HP,3200.0,1,Cliente_2375,3200.0,Presencial,Sudeste
1728,1729,2023-08-04,São Paulo,Notebook HP,3200.0,1,Cliente_12265,3200.0,Presencial,Sudeste
1740,1741,2024-12-12,São Paulo,Cabo HDMI,40.0,1,Cliente_848,40.0,Presencial,Sudeste
